Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BIH,12.61173948,8.880810057,6.492283395,3.679119003,12.90195296,7.843475247,10.84463734,13.28057584,11.45020361,9.479685023,8.649027413,7.990085289,6.644585462,8.657921383,9.552766931,11.74786426,13.48257534,15.5979,18.22392609,20.14239542,17.85749035,22.04079934,23.27825983,18.15246839
BLR,24.41214461,21.71755992,20.63571842,22.87737405,26.89887092,27.95562143,29.55825726,29.13438649,30.50207497,26.04015024,26.85527846,32.72210562,31.23650362,28.43710947,27.4692016,28.90847195,26.40345526,28.0169008,29.15815621,27.82262022,27.46986029,29.66284547,26.56289556,25.12331494
BLZ,27.04739106,20.69328765,19.06959634,16.87779964,18.14736869,21.10968059,26.65318826,25.89923404,24.51403655,25.8047304,23.18992418,25.44090404,23.71223842,21.52979257,21.76890705,23.97742719,24.58468796,22.11724108,19.50105357,20.04965514,27.42079013,26.07145548,23.13502029,27.61142959
BMU,,,,,,,,,,,38.49410768,36.95064272,39.40631633,40.04899793,39.63328329,39.94720496,39.31975329,40.48283833,40.34162425,38.44677842,39.27455749,42.06132602,,
BOL,11.01508839,11.25623261,12.29706715,14.48571969,17.04664635,19.88248341,26.58224479,28.63609751,28.98328097,22.89988725,24.8491395,26.31741757,25.69405643,23.89093966,20.78947779,14.21692538,15.42005142,16.05702893,16.12778626,14.19492888,12.48199146,13.84929321,13.91607718,13.48458453
BRA,13.99170313,13.59459738,15.40587227,16.41794181,18.85501886,18.11409553,18.40981632,19.34636032,19.22684666,16.38036503,17.80239936,18.60126643,17.67810853,18.15169083,16.13440499,14.52934718,13.42175301,13.57776969,12.70741995,12.25079583,14.79332918,17.15647976,15.82679788,15.58974482
BRB,10.65194681,8.493278687,9.521740625,11.84679903,8.124926456,3.832296414,8.084107937,13.46114807,8.051155129,7.137611634,6.50627058,1.947790906,4.260048759,5.018293231,4.366251865,4.898158662,2.650009057,4.958327297,,,,,,
BRN,,42.50730064,45.70217359,47.13400562,46.89039727,55.18985192,58.5940859,54.21165909,62.62907875,48.69272286,60.15033514,63.783176,62.90468636,60.27908261,59.7121094,57.1183128,56.41234531,55.33647891,53.2040345,53.55339105,50.90863539,49.73553569,50.38257565,45.96239131
BTN,,,,,,,54.01264516,42.1119554,35.43988805,35.29072682,37.81950712,43.29687985,51.56478325,44.69255301,35.68032004,27.48269261,32.98423413,32.90573714,31.90639752,30.79019384,24.44243741,23.96451161,21.26580651,
BWA,39.44143735,43.39317717,31.4345614,35.67831753,34.27037293,40.4367157,41.34629674,44.51610407,37.08852845,27.42400043,32.0369221,38.61497238,36.87433628,29.92246645,36.44266373,31.3073044,30.12627879,30.79621542,26.82945432,25.97128112,24.13231419,30.8979417,33.63860379,34.48093249
CAF,,,,,,,,,,,,,,,,,,,,,,,,
CAN,23.77462807,22.63548905,21.7247372,21.94377715,23.66050407,24.45175414,24.61727708,24.40431956,24.24740931,18.52001347,19.3125301,20.85710941,20.91795123,21.5972984,22.14849389,19.56936363,19.14645457,19.84528099,19.58293123,20.26163399,19.461889,23.29077824,24.07478459,21.84062202
CEB,20.00637221,19.91515559,19.19834129,18.39135634,17.81161302,18.88878487,19.48631307,20.22813509,20.51748013,19.52902205,19.34932984,20.20802693,20.09920778,21.23611844,21.89569052,22.7751942,22.06521094,22.12161143,22.2493293,22.57910576,22.69349734,22.31144568,21.45931085,21.75852362
CHE,37.55525893,34.42705412,32.57728348,36.39187068,36.61781485,38.69129776,40.59324182,35.76243845,28.75065901,34.59957069,39.35441243,35.27082697,36.23098038,35.56364461,33.42075241,34.8318008,33.65321279,31.82193418,31.38751684,31.09476335,30.37698981,35.25019865,34.7818495,32.24518469
CHI,,,,,,,,,,,,,,,,,,,,,,,,
CHL,22.50172429,22.95400688,23.12168971,23.53782859,24.42773319,25.13020975,27.64988104,27.43423101,24.14920779,24.27693725,25.62769375,21.68612149,23.46866209,22.66631815,21.67947948,22.73386142,21.08780703,19.84212511,19.60370906,19.67640063,19.08554868,16.62544657,16.83700444,19.33819899
CHN,35.73955353,37.26929737,38.88322089,42.41350434,45.67236734,45.95478431,48.26050542,50.27522622,51.78758738,50.37304208,51.32671358,49.23332825,48.66536341,47.37839154,47.61581841,45.41758943,44.38066144,44.9050475,44.48574799,43.77302796,43.92641665,45.47068464,46.0503105,
CIV,,,,,,-18.75292344,-18.2668801,-19.90297447,-13.9842172,-12.23455871,-11.36763315,-12.44902869,-9.90077029,-8.314578663,22.78909982,22.43247102,22.43146757,19.2374427,17.86864201,18.90938405,17.74787182,19.05099755,18.18976124,
CMR,14.38148472,12.15782486,11.91175614,14.19098559,16.91747745,16.87037517,19.32032196,18.88596301,17.51653491,16.14105029,15.29820401,15.5227665,15.11635543,15.33380841,15.22438584,14.31569393,16.45689413,16.28938372,15.70784986,14.39992115,13.34861877,13.94515311,14.18476293,
COD,,,,,,7.362421753,11.8250329,13.0705812,3.453186646,8.543636163,19.94035795,19.16813834,8.1580008,12.53924975,15.39313469,12.30906285,10.85437233,21.6499453,15.84159521,14.48770795,22.441779,26.45907905,,
COG,36.17262974,22.02523532,23.5482737,30.74157345,17.04504335,32.69808848,42.00490423,33.3484708,43.49245367,40.19205721,54.04430634,50.08982623,57.50172585,57.85017645,56.63817462,39.5434873,24.86954741,,,37.57940265,36.29299152,38.85055027,,
COL,13.57496867,12.83463539,13.92546062,15.39649531,16.8283644,18.4240691,19.01077229,18.63864987,19.56820861,18.66999664,18.45591353,19.34555643,18.37132843,18.18979935,18.15609511,17.36986727,17.47785728,17.10212763,16.36558246,16.17890591,14.43746022,13.05987337,13.54106065,10.79991382
COM,,,,4.425297772,6.840510104,8.559628634,10.45837488,12.7926145,11.80705058,13.87334643,13.84310945,10.80097311,12.03099703,,9.819688788,13.47664038,8.212049945,11.37715079,12.20801707,10.35397928,9.941945187,14.74876073,15.44507341,
CPV,,,,,,,,36.91022608,37.32185296,33.33793353,34.61186307,34.07204452,29.06873328,29.20589665,26.60912701,28.52108584,28.05334347,25.59090523,25.55283655,24.76160468,17.54811386,17.57376682,21.95563766,20.80083589
CRI,15.76547352,16.56779768,14.34638739,13.41376807,14.87546315,14.18020607,16.45456972,17.15026818,15.25928529,15.82423989,15.86128455,13.85058989,13.89066606,13.88896054,13.55938881,14.6847542,15.93218142,14.25156332,14.4377173,13.91062611,14.85417703,14.41100745,13.14630414,12.63318573
CSS,,,,,,,26.98502555,30.38075734,27.69605361,27.21866608,25.60414587,,,,,,,,,,,,,
CUB,,,,,,,,,,,,,,,,,,,,,,,,
CUW,,,,,,,,,,,,8.232530137,6.350053159,7.326728676,9.330842131,12.22517882,12.27320684,8.162537812,10.59313041,,,,,
CYM,,,,,,,,,,,,,,,,,,,,,,,,
CYP,16.19967719,15.84576568,17.49526125,18.11422145,17.29051255,17.21594017,17.15452439,13.16197067,14.19256218,16.18706044,13.31559116,16.67444882,12.41318207,11.38641736,9.514450326,13.31326823,13.44025018,15.63539055,15.35795052,14.25756114,11.00793137,13.36340151,13.40265341,9.744900271
