fecha,hora,emisiones_co
43479,7,1.63
43479,8,0.88
43479,9,0.39
43479,10,0.34
43479,11,0.34
43479,12,0.38
43479,13,0.46
43479,14,0.41
43479,15,0.46
43479,16,0.4
43479,17,0.44
43479,18,0.8
43479,19,0.9
43479,20,1.04
43479,21,0.63
43479,22,0.59
43479,23,0.7
43480,0,0.65
43480,1,0.55
43480,2,0.39
43480,3,0.43
43480,4,0.54
43480,5,0.64
43480,6,1.22
43480,7,1.39
43480,8,1.58
43480,9,1.16
43480,10,0.49
43480,11,0.4
43480,12,0.39
43480,13,0.32
43480,14,0.38
43480,15,0.44
43480,16,0.5
43480,17,0.75
43480,18,0.82
43480,19,0.92
43480,20,0.94
43480,21,1.16
43480,22,1.17
43480,23,0.92
43481,0,0.73
43481,2,0.49
43481,3,0.45
43481,4,0.52
43481,5,0.76
43481,6,1.35
43481,7,2.3
43481,8,1.82
43481,9,1.15
43481,10,1.15
43481,11,0.74
43481,12,0.44
43481,13,0.32
43481,14,0.38
43481,15,0.47
43481,16,0.45
43481,17,0.45
43481,18,0.69
43481,19,0.86
43481,20,1.17
43481,21,1.41
43481,22,0.85
43481,23,1.06
43482,0,0.93
43482,1,0.74
43482,2,0.71
43482,3,0.62
43482,4,0.63
43482,5,0.68
43482,6,1.09
43482,7,1.93
43482,8,1.96
43482,9,1.47
43482,10,0.99
43482,11,0.48
43482,12,0.31
43482,13,0.24
43482,14,0.24
43482,15,0.25
43482,16,0.37
43482,17,0.39
43482,18,0.46
43482,19,0.74
43482,20,0.91
43482,21,0.58
43482,22,0.58
43482,23,0.43
43483,0,0.23
43483,2,0.69
43483,3,0.71
43483,4,0.77
43483,5,0.89
43483,6,1.36
43483,7,1.17
43483,8,0.95
43483,9,0.52
43483,10,0.24
43483,13,0.31
43483,14,0.33
43483,15,0.48
43483,16,0.48
43483,17,0.47
43483,18,0.55
43483,19,0.72
43483,20,0.82
43483,21,1.09
43483,22,1.28
43483,23,1.42
43484,0,0.97
43484,1,1.03
43484,2,0.78
43484,3,0.56
43484,4,0.54
43484,5,0.67
43484,6,0.8
43484,7,1.03
43484,8,1.23
43484,9,1.37
43484,10,0.85
43484,11,0.47
43484,12,0.46
43484,13,0.42
43484,14,0.41
43484,15,0.44
43484,16,0.45
43484,17,0.54
43484,18,0.66
43484,19,0.61
43484,20,0.87
43484,21,0.8
43484,22,0.68
43484,23,0.46
43485,0,0.68
43485,2,0.66
43485,3,0.61
43485,4,0.47
43485,5,0.53
43485,6,0.73
43485,7,0.86
43485,8,0.68
43485,9,0.81
43485,10,0.63
43485,11,0.41
43485,12,0.37
43485,13,0.35
43485,14,0.35
43485,15,0.37
43485,16,0.38
43485,17,0.47
43485,18,0.66
43485,19,0.73
43485,20,0.74
43485,21,0.64
43485,22,0.55
43485,23,0.55
43486,0,0.54
43486,1,0.49
43486,2,0.48
43486,3,0.41
43486,4,0.41
43486,5,0.55
43486,6,1.52
43486,7,2.17
43486,8,1.23
43486,9,0.65
43486,10,0.51
43486,11,0.4
43486,12,0.39
43486,13,0.33
43486,14,0.33
43486,15,0.36
43486,16,0.41
43486,17,0.5
43486,18,0.88
43486,19,1
43486,20,1.07
43486,21,1.07
43486,22,1.13
43486,23,0.72
43487,0,0.39
43487,2,0.45
43487,3,0.39
43487,4,0.51
43487,5,0.68
43487,6,1.83
43487,7,0.92
43487,8,0.75
43487,9,0.46
43487,10,0.43
43487,11,0.48
43487,12,0.41
43487,13,0.38
43487,14,0.39
43487,15,0.39
43487,16,0.43
43487,17,0.49
43487,18,0.49
43487,19,0.64
43487,20,0.65
43487,21,0.54
43487,22,0.49
43487,23,0.44
43488,0,0.39
43488,1,0.35
43488,2,0.3
43488,3,0.36
43488,4,0.42
43488,5,0.7
43488,6,1.27
43488,7,1.02
43488,8,0.72
43488,9,0.49
43488,10,0.4
43488,11,0.41
43488,12,0.42
43488,13,0.38
43488,14,0.37
43488,15,0.39
43488,16,0.45
43488,17,0.49
43488,18,0.52
43488,19,0.74
43488,20,0.61
43488,21,0.73
43488,22,0.59
43488,23,0.46
43489,0,0.36
43489,2,0.27
43489,3,0.27
43489,4,0.3
43489,5,0.41
43489,6,0.68
43489,7,0.81
43489,8,0.6
43489,9,0.51
43489,10,0.52
43489,11,0.52
43489,12,0.47
43489,13,0.48
43489,14,0.5
43489,15,0.54
43489,16,0.67
43489,17,0.8
43489,18,1.14
43489,19,1.19
43489,20,1.1
43489,21,1.36
43489,22,1.24
43489,23,1.22
43490,0,1.07
43490,1,0.81
43490,2,0.77
43490,3,0.83
43490,4,1.01
43490,5,1.1
43490,6,1.73
43490,7,2.52
43490,8,1.14
43490,9,0.96
43490,10,0.8
43490,11,0.88
43490,12,0.82
43490,13,0.75
43490,14,0.85
43490,15,0.88
43490,16,0.9
43490,17,1.03
43490,18,1.19
43490,19,1.34
43490,20,1.45
43490,21,1.77
43490,22,1.54
43490,23,1.87
43491,0,1.58
43491,2,0.71
43491,3,0.65
43491,4,0.77
43491,5,0.7
43491,6,0.9
43491,7,0.93
43491,8,0.89
43491,9,0.73
43491,10,0.67
43491,11,0.61
43491,12,0.63
43491,13,0.53
43491,14,0.52
43491,15,0.5
43491,16,0.64
43491,17,0.74
43491,18,0.79
43491,19,0.92
43491,20,1.01
43491,21,0.91
43491,22,0.97
43491,23,1.03
43492,0,1.03
43492,1,1.04
43492,2,0.86
43492,3,0.88
43492,4,0.97
43492,5,1.11
43492,6,1.24
43492,7,1.41
43492,8,1.02
43492,9,0.87
43492,10,0.71
43492,11,0.7
43492,12,0.64
43492,13,0.65
43492,14,0.72
43492,15,0.7
43492,16,0.72
43492,17,0.69
43492,18,0.79
43492,19,0.92
43492,20,0.9
43492,21,0.76
43492,22,0.76
43492,23,0.7
43493,0,0.56
43493,2,0.47
43493,3,0.47
43493,4,0.51
43493,5,0.59
43493,6,1.02
43493,7,1.12
43493,8,1.04
43493,9,0.97
43493,10,1.01
43493,11,0.86
43493,14,0.44
43493,15,0.44
43493,16,0.59
43493,17,0.7
43493,18,0.95
43493,19,0.78
43493,20,0.65
43493,21,0.75
43493,22,0.5
43493,23,0.57
43494,0,0.43
43494,1,0.39
43494,2,0.43
43494,3,0.49
43494,4,0.53
43494,5,0.69
43494,6,0.99
43494,7,1.52
43494,8,1.23
43494,9,1.22
43494,10,0.87
43494,11,0.68
43494,12,0.53
43494,13,0.55
43494,14,0.58
43494,15,0.66
43494,16,0.62
43494,17,0.68
43494,18,0.79
43494,19,1.03
43494,20,0.67
43494,21,0.65
43494,22,0.67
43494,23,0.56
43495,0,0.38
43495,2,0.3
43495,3,0.28
43495,4,0.36
43495,5,0.49
43495,6,0.99
43495,7,0.97
43495,8,0.91
43495,9,1.15
43495,10,0.85
43495,11,0.85
43495,12,0.6
43495,13,0.53
43495,14,0.61
43495,15,0.53
43495,16,0.58
43495,17,0.53
43495,18,0.66
43495,19,0.75
43495,20,0.75
43495,21,0.52
43495,22,0.67
43495,23,0.53
43496,0,0.47
43496,1,0.52
43496,2,0.49
43496,3,0.47
43496,4,0.54
43496,5,0.78
43496,6,1.13
43496,7,2.4
43496,8,1.89
43496,9,1.64
43496,10,1.39
43496,11,1
43496,12,0.8
43496,13,0.62
43496,14,0.6
43496,15,0.64
43496,16,0.78
43496,17,0.78
43496,18,0.82
43496,19,0.96
43496,20,0.89
43496,21,0.67
43496,22,0.59
43496,23,0.56
43497,0,0.54
43497,2,0.44
43497,3,0.37
43497,4,0.45
43497,5,0.57
43497,6,1.02
43497,7,1.03
43497,8,0.97
43497,9,1.04
43497,10,0.79
43497,11,0.75
43497,12,0.65
43497,13,0.53
43497,14,0.6
43497,15,0.65
43497,16,0.67
